Axe,Valeur_propre_brute,Inertie_brute_%,Valeur_propre_Benzecri,Inertie_Benzecri_%,Cumul_Benzecri_%
Axe 1,0.22030663991918553,16.179942185380966,0.011923663511675012,75.82157100251693,75.82157100251693
Axe 2,0.1518357441905276,11.151246115769425,0.0016584957394531032,10.546234581610582,86.36780558412751
Axe 3,0.14469025874814995,10.626461472934501,0.0011275591560300513,7.170053610181144,93.53785919430865
Axe 4,0.1317444796047694,9.675686870038081,0.00042573589539509076,2.707218665589832,96.24507785989849
Axe 5,0.1282945810505138,9.422316571377266,0.0002952716391583563,1.8776074594484973,98.12268531934699
Axe 6,0.12283453420513435,9.02131530187346,0.00013743864904147753,0.8739607819849068,98.99664610133189
Axe 7,0.12057125584840368,8.85509374370908,8.949433845052446e-05,0.5690869530581456,99.56573305439004
Axe 8,0.11845809202372959,8.699897020977492,5.3978128530380326e-05,0.3432423685004074,99.90897542289045
Axe 9,0.1148945593907211,8.438181114462164,1.4314480884483843e-05,0.0910245771095729,100.00000000000003
Axe 10,0.10797323650831642,7.929859603477556,0.0,0.0,100.00000000000003
